id|score|comment|bookId
1|4|turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla|912
2|5|nisl aenean lectus pellentesque eget nunc donec quis orci eget|579
3|5|ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor|147
4|2|amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in|656
5|1|tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in|582
6|2|nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac|446
7|2|fusce congue diam id ornare imperdiet sapien urna pretium nisl|901
8|3|volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante|357
9|1|cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien|648
10|2|ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices|565
11|1|quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi|855
12|4|sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros|460
13|5|nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum|472
14|2|purus sit amet nulla quisque arcu libero rutrum ac lobortis vel|875
15|4|et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit|179
16|2|nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat|871
17|2|eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in|818
18|2|sit amet justo morbi ut odio cras mi pede malesuada in imperdiet|660
19|1|habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque|160
20|5|hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem|651
21|1|quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa|725
22|2|nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim|406
23|2|ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam|456
24|2|vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat|145
25|1|magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis|924
26|1|condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo|563
27|5|pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien|709
28|4|dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris|606
29|1|sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper|126
30|4|vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis|242
31|3|dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis|243
32|3|eu est congue elementum in hac habitasse platea dictumst morbi vestibulum|269
33|1|consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo|680
34|3|quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue|331
35|3|nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu|163
36|3|posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin|136
37|2|consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante|661
38|2|commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel|743
39|2|amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed|507
40|3|ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl|943
